file,name,date,result
src/data_csv_oficial\oponentes_ano_2023.csv,Monkey D rip,21/08/2023 04:44,Derrota
src/data_csv_oficial\oponentes_ano_2024.csv,MOKRANE,07/01/2024 08:30,Derrota
src/data_csv_oficial\oponentes_ano_2025.csv,KING RAGNAR,20/12/2025 14:11,defeat
src/data_csv_oficial\oponentes_ano_2025.csv,KingGamas3000,19/12/2025 05:49,victory
src/data_csv_oficial\oponentes_ano_2025.csv,kiiingslater,18/12/2025 15:07,victory
src/data_csv_oficial\oponentes_ano_2025.csv,King T,16/12/2025 17:01,defeat
src/data_csv_oficial\oponentes_ano_2025.csv,shhhimeating,11/12/2025 18:45,defeat
src/data_csv_oficial\oponentes_ano_2026.csv,Boruto Uzumaki,28/04/2026 19:48,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,VINI✨鬼滅,28/04/2026 19:53,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,Luiz03br mp,28/04/2026 10:27,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,MIGUEL CR,27/04/2026 20:20,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,あるふぁ／alpha ☆,27/04/2026 20:16,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,❄️BELL CRANEL❄️,26/04/2026 21:55,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,LOTSO,26/04/2026 21:49,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,とぅもひと,28/04/2026 20:22,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,Chagus21,28/04/2026 20:06,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,optimus270308,28/04/2026 11:12,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,EDWIN^_^,27/04/2026 22:14,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,cplemons,27/04/2026 22:09,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,ING,27/04/2026 20:31,Vitoria
src/data_csv_oficial\oponentes_ano_2026.csv,king,26/04/2026 20:22,Derrota
src/data_csv_oficial\oponentes_ano_2026.csv,WANTED,27/04/2026 20:24,Vitoria
