Nome;Tag;Fama_Contribuida;Pontos_Reparo;Decks_Usados
fernando;#908PVCVQ;0;0;0
PoneyMaldito;#VRVP8U8;0;0;0
Bruxo Do Bailão;#L2GQ9U80J;0;0;0
arctic artur;#R29LGRGQR;0;0;0
naregs;#LQCGGU9U;0;0;0
segunda conta14;#PQPRJPP2G;0;0;0
kratos;#P8VV2V;0;0;0
damiplay;#2GCC2JVG9;0;0;0
mitio da bala;#LYQCVLR8Q;0;0;0
LORD ESCANOR;#LL00PUP2R;0;0;0
drope;#RGLJGY0UQ;0;0;0
Dim Dim;#CRVPYV8JC;0;0;0
Luca.canhotinho;#8PLRYQG9L;0;0;0
Fobos;#PR2YGCQC;0;0;0
Pardal;#Q0UQYJLY;0;0;0
Totozo;#G0P9VPPU9;0;0;0
やみ;#JQQJ0YYCQ;0;0;0
Luanzin者;#CJRJYGQCG;0;0;0
Seu Pai;#UQC2V292V;0;0;0
João Gabriel;#22RRUVYQ;0;0;0
eSay;#YVRCPJP2;0;0;0
gabriel;#U92L0YRJR;0;0;0
Barbarian;#20LLPPJRV;0;0;0
PAULØ DAVI¿;#PG2GJ88P9;0;0;0
HANZO_GHOST;#C0GP8QJ;0;0;0
bruxo-x-;#88YCLLVJP;0;0;0
EL_GRANDE BRUXO;#LLLURJ0L2;0;0;0
Zica da balada;#PJPCL98QP;0;0;0
LUAN;#2UGJ8UQP9;0;0;0
zCacio;#YQU2GRJ2C;0;0;0
DEUS ROYALE;#82J8089CG;0;0;0
VegartGameRr;#P28J0Q0L8;0;0;0
deco;#RGRL2Y29C;0;0;0
Gugu.;#208QY0R0RU;0;0;0
Wale;#2P0GCQ98Y;0;0;0
Luiz roberto;#2GC2LUVJY;0;0;0
GaguiN;#JP2LQYRV9;0;0;0
EL7schneider;#VVC9C808R;0;0;0
ByGabriel;#PYVPCPG9U;0;0;0
Hannibal;#2VGVP9QJ;0;0;0
Schmidtiago;#82PYRV0LU;0;0;0
sportblak87;#PC9RRP9YQ;0;0;0
2B¥;#YQYYQRCUV;0;0;0
Victor Hugo;#8VUQ28LG8;0;0;0
TheKing;#CLCQJJYCV;0;0;0
O Bruxo Cyel;#8JPPP8V0G;0;0;0
⛩Vini'hYT⛩;#2RPLPPPPG;0;0;0
Bonifácio;#PLGVJPJU0;0;0;0
david;#QRLR8JV0V;0;0;0
Nono:);#CL9YGJRR0;0;0;0
luciano;#29YL9PYYR;0;0;0
KURAMA;#98C28G0UC;0;0;0
♤♡itachi◇♧;#UVQ098RG0;0;0;0
TheusMarqs;#J0V099LV;0;0;0
TerraThigas;#Y2V8VR98L;0;0;0
Λ Яᄃ λ Ð Є;#2QR292P;100;0;1
LZ-17;#2JY9QUU2Y;300;0;3
BybyZx;#29GLL9R02;500;0;2
ips;#VGLQQCLCL;1400;0;4
