data_coleta;clan_posicao;clan_nome;clan_tag;clan_fame;player_posicao;player_nome;player_tag;player_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo
2026-05-17;1;BLACK「DR4GON;#R0JVY98R;9840;1;ツ ΔЯ₡ΛↁЄ ☯︎ ㋡ ツ;#2220UQQ0UU;1800;12;0;Wizard, Bomb Tower, Bomber, Fire Spirit, Goblin Barrel, Rocket, Goblins, Skeleton Dragons;RangeBattle;Musketeer, Flying Machine, Battle Ram, Minions, Mini P.E.K.K.A, Goblin Hut, Zap, Mega Minion;RangeBattle;Valkyrie, Knight, Electro Spirit, Arrows, Mortar, Tombstone, Archers, Giant;RangeBattle;Skeletons, Fireball, Bowler, Hog Rider, Goblin Cage, Spear Goblins, Cannon, Bats;RangeBattle
2026-05-17;1;BLACK「DR4GON;#R0JVY98R;9840;2;AXEL;#20C2GJPJPJ;0;0;0;;;;;;;;
2026-05-17;1;BLACK「DR4GON;#R0JVY98R;9840;3;Gbfenojusto;#20UVCJ2JYU;0;0;0;;;;;;;;
2026-05-17;1;BLACK「DR4GON;#R0JVY98R;9840;4;patrick grauu;#228JP9RULY;0;0;0;;;;;;;;
2026-05-17;1;BLACK「DR4GON;#R0JVY98R;9840;5;montapuerco3000;#2289VUPC0Y;0;0;0;;;;;;;;
2026-05-17;2;абвгд;#QUGULGYC;0;1;унечтожитль3000;#VVL8JC9JP;0;0;0;;;;;;;;
2026-05-17;2;абвгд;#QUGULGYC;0;2;kiki;#RU98RVQY9;0;0;0;;;;;;;;
2026-05-17;3;kids with needs;#GL980GCG;0;1;kaffr_d00dmaker;#20Y0U9JLPP;0;0;0;;;;;;;;
2026-05-17;3;kids with needs;#GL980GCG;0;2;xXStilesXx;#CVJCYC90P;0;0;0;;;;;;;;
2026-05-17;3;kids with needs;#GL980GCG;0;3;dukstukfrik;#20YUCL8YQ2;0;0;0;;;;;;;;
2026-05-17;4;Babayaga;#R8JUVGPP;0;1;OP-OP-GAXHET;#PQ09YUYPY;0;0;0;;;;;;;;
2026-05-17;4;Babayaga;#R8JUVGPP;0;2;Mato;#VR2CLUJ82;0;0;0;;;;;;;;
2026-05-17;4;Babayaga;#R8JUVGPP;0;3;Desëni;#V0QLPL9L9;0;0;0;;;;;;;;
2026-05-17;4;Babayaga;#R8JUVGPP;0;4;General Jani;#PV0RCRC0;0;0;0;;;;;;;;
2026-05-17;4;Babayaga;#R8JUVGPP;0;5;lindi777;#JR29U0CU8;0;0;0;;;;;;;;
2026-05-17;5;красная месть!;#RUQJ0LLG;0;1;TBou_Z9ITek;#VC99JU2P9;0;0;0;;;;;;;;
2026-05-17;5;красная месть!;#RUQJ0LLG;0;2;nikitka-$$$;#VPYJLVQ2Q;0;0;0;;;;;;;;
2026-05-17;5;красная месть!;#RUQJ0LLG;0;3;voroninvr;#JGGQVGPU;0;0;0;;;;;;;;
2026-05-17;5;красная месть!;#RUQJ0LLG;0;4;клубника;#JL2Q02JG0;0;0;0;;;;;;;;
2026-05-17;5;красная месть!;#RUQJ0LLG;0;5;mister_fish;#UPUVLLRPY;0;0;0;;;;;;;;
