Nome;Cargo;Trofeus;Doacoes_Feitas;Doacoes_Recebidas;Ultimo_Acesso
⛩Vini'hYT⛩;elder;14000;0;0;03/05/2026 05:18
Pardal;elder;13561;138;80;04/05/2026 12:54
TerraThigas;member;13098;0;16;03/05/2026 22:41
ツ ︻デ═一⟿ΔЯ₡λↁΣ☯︎;elder;13060;88;80;04/05/2026 14:18
naregs;member;13057;0;10;04/05/2026 14:03
João Gabriel;member;12809;24;20;04/05/2026 13:45
LZ-17;member;12595;46;50;04/05/2026 04:33
Nono:);member;12500;0;0;04/05/2026 01:18
deco;member;12334;0;0;04/05/2026 14:22
LUAN;member;12286;0;0;04/05/2026 01:35
drope;elder;12267;0;0;04/05/2026 00:49
eSay;member;12104;94;70;04/05/2026 13:14
damiplay;member;12090;0;0;04/05/2026 14:29
Schmidtiago;member;12085;9;48;04/05/2026 12:18
PoneyMaldito;member;12073;0;8;03/05/2026 20:53
KURAMA;elder;12045;0;0;04/05/2026 14:25
EL7schneider;member;12030;0;0;03/05/2026 23:31
arctic artur;member;12030;0;0;03/05/2026 11:55
david;elder;11855;0;0;02/05/2026 20:14
mitio da bala;member;11582;0;0;03/05/2026 04:55
Victor Hugo;elder;11452;0;0;03/05/2026 23:43
luciano;member;11450;0;0;04/05/2026 01:28
O Bruxo Cyel;elder;11421;34;40;04/05/2026 02:53
VegartGameRr;member;11415;0;0;03/05/2026 15:30
BybyZx;member;11413;0;10;04/05/2026 07:54
Luca.canhotinho;member;11338;0;0;04/05/2026 10:00
Fobos;member;11271;0;0;01/05/2026 01:03
ips;member;11236;0;0;03/05/2026 21:51
LORD ESCANOR;member;11215;0;0;01/05/2026 22:19
bruxo-x-;coLeader;11056;0;0;26/04/2026 18:33
EL_GRANDE BRUXO;leader;10914;24;17;04/05/2026 13:05
GaguiN;member;10814;28;40;04/05/2026 12:19
Seu Pai;member;10752;0;0;04/05/2026 14:08
2B¥;member;10533;0;0;01/05/2026 13:52
João Pedrœ;member;10264;0;0;03/05/2026 16:04
Barbarian;member;10202;0;0;02/05/2026 21:36
DEUS ROYALE;member;10132;0;0;30/04/2026 18:45
Luanzin者;member;10095;0;0;30/04/2026 21:44
Gugu.;member;10063;44;40;04/05/2026 12:27
